timestamp,apn1,apn2,connection_state,technology,raw_rssi,rssi,ber,rscp,rsrp,rsrq,mcc,mnc,network_provider,operator
2023-06-21 14:38:39,0,0,connectedRoaming,wcdma,0,0,99,-55,0,0,240,08,-,-
2023-06-21 14:38:49,0,0,connectedRoaming,lte,0,-103,0,0,-103,-11,240,08,-,-
2023-06-21 14:38:59,0,0,connectedRoaming,lte,0,-101,0,0,-101,-10,240,08,-,-
2023-06-21 14:39:09,0,0,connectedRoaming,lte,0,-101,0,0,-101,-12,240,08,-,-
2023-06-21 14:39:19,0,0,connectedRoaming,lte,0,-99,0,0,-99,-8,240,08,-,-
2023-06-21 14:39:30,0,0,connectedRoaming,lte,0,-101,0,0,-100,-10,240,08,-,-
2023-06-21 14:39:40,0,0,connectedRoaming,lte,0,-103,0,0,-102,-11,240,08,-,-
2023-06-21 14:39:50,0,0,connectedRoaming,lte,0,-101,0,0,-100,-12,240,08,-,-
2023-06-21 14:40:00,0,0,connectedRoaming,lte,0,-101,0,0,-100,-12,240,08,-,-
2023-06-21 14:40:11,0,0,connectedRoaming,lte,0,-99,0,0,-98,-13,240,08,-,-
2023-06-21 14:40:21,0,0,connectedRoaming,lte,0,-101,0,0,-100,-11,240,08,-,-
2023-06-21 14:40:31,0,0,connectedRoaming,lte,0,-101,0,0,-100,-11,240,08,-,-
2023-06-21 14:40:41,0,0,connectedRoaming,lte,0,-101,0,0,-100,-11,240,08,-,-
2023-06-21 14:40:51,0,0,connectedRoaming,gsm,0,-71,5,0,0,0,240,24,-,-
2023-06-21 14:41:02,0,0,connectedRoaming,lte,0,-105,0,0,-104,-11,240,08,-,-
2023-06-21 14:41:12,0,0,connectedRoaming,lte,0,-101,0,0,-100,-12,240,08,-,-
2023-06-21 14:41:22,0,0,connectedRoaming,lte,0,-103,0,0,-102,-10,240,08,-,-
2023-06-21 14:41:32,0,0,connectedRoaming,lte,0,-95,0,0,-94,-14,240,08,-,-
2023-06-21 14:41:42,0,0,connectedRoaming,lte,0,-89,0,0,-89,-12,240,08,-,-
2023-06-21 14:41:53,0,0,connectedRoaming,lte,0,-77,0,0,-77,-9,240,08,-,-
2023-06-21 14:42:03,0,0,connectedRoaming,lte,0,-81,0,0,-80,-12,240,08,-,-
2023-06-21 14:42:13,0,0,connectedRoaming,lte,0,-77,0,0,-77,-9,240,08,-,-
2023-06-21 14:42:23,0,0,connectedRoaming,lte,0,-87,0,0,-86,-11,240,08,-,-
2023-06-21 14:42:33,0,0,connectedRoaming,lte,0,-83,0,0,-82,-14,240,08,-,-
2023-06-21 14:42:44,0,0,connectedRoaming,lte,0,-81,0,0,-81,-9,240,08,-,-
2023-06-21 14:42:54,0,0,connectedRoaming,lte,0,-83,0,0,-83,-15,240,08,-,-
2023-06-21 14:43:04,0,0,connectedRoaming,lte,0,-87,0,0,-87,-14,240,08,-,-
2023-06-21 14:43:14,0,0,connectedRoaming,lte,0,-99,0,0,-98,-13,240,08,-,-
2023-06-21 14:43:24,0,0,connectedRoaming,lte,0,-89,0,0,-89,-10,240,08,-,-
2023-06-21 14:43:35,0,0,connectedRoaming,lte,0,-95,0,0,-95,-13,240,08,-,-
2023-06-21 14:43:45,0,0,connectedRoaming,lte,0,-97,0,0,-97,-12,240,08,-,-
2023-06-21 14:43:55,0,0,connectedRoaming,lte,0,-99,0,0,-99,-11,240,08,-,-
2023-06-21 14:44:05,0,0,connectedRoaming,lte,0,-101,0,0,-101,-11,240,08,-,-
2023-06-21 14:44:15,0,0,connectedRoaming,lte,0,-103,0,0,-103,-14,240,08,-,-
2023-06-21 14:44:26,0,0,connectedRoaming,lte,0,-95,0,0,-94,-13,240,08,-,-
2023-06-21 14:44:36,0,0,connectedRoaming,lte,0,-109,0,0,-109,-14,240,08,-,-
2023-06-21 14:44:46,0,0,connectedRoaming,lte,0,-107,0,0,-107,-11,240,08,-,-
