timestamp,apn1,apn2,connection_state,technology,raw_rssi,rssi,ber,rscp,rsrp,rsrq,mcc,mnc,network_provider,operator
2023-06-16 15:31:42,NULL,NULL,connectedRoaming,lte,NULL,ss=-71,NULL,NULL,ber=99,rscp=-71,NULL,NULL,NULL,NULL
2023-06-16 15:31:45,NULL,NULL,connectedRoaming,lte,NULL,ss=-71,NULL,NULL,ber=99,rscp=-71,NULL,NULL,NULL,NULL
2023-06-16 15:31:48,NULL,NULL,connectedRoaming,lte,NULL,ss=-71,NULL,NULL,ber=99,rscp=-71,NULL,NULL,NULL,NULL

['mWcdma=CellSignalStrengthWcdma:', 'ss=-87', 'ber=99', 'rscp=-87', 'ecno=0', 'level=3']
