timestamp,apn1,apn2,connection_state,technology,raw_rssi,rssi,ber,rscp,rsrp,rsrq,mcc,mnc,network_provider,operator
2023-06-20 16:23:49,0,0,Not Connected,none,0,0,0,0,0,0,-,-,-,-
2023-06-20 16:23:52,0,0,Not Connected,none,0,0,0,0,0,0,-,-,-,-
2023-06-20 16:23:55,0,0,Not Connected,none,0,0,0,0,0,0,-,-,-,-
2023-06-20 16:23:59,0,0,connectedRoaming,gsm,0,-71,6,0,0,0,-,-,-,-
2023-06-20 16:24:02,0,0,connectedRoaming,gsm,0,-69,2147483647,0,0,0,-,-,-,-
2023-06-20 16:24:05,0,0,connectedRoaming,gsm,0,-69,2147483647,0,0,0,-,-,-,-
2023-06-20 16:24:08,0,0,connectedRoaming,gsm,0,-69,2147483647,0,0,0,-,-,-,-
2023-06-20 16:24:11,0,0,Not Connected,none,0,0,0,0,0,0,-,-,-,-
2023-06-20 16:24:15,0,0,connectedRoaming,gsm,0,-75,6,0,0,0,-,-,-,-
2023-06-20 16:24:18,0,0,connectedRoaming,gsm,0,-69,2147483647,0,0,0,-,-,-,-
2023-06-20 16:24:21,0,0,connectedRoaming,gsm,0,-69,2147483647,0,0,0,-,-,-,-
2023-06-20 16:24:24,0,0,connectedRoaming,gsm,0,-69,2147483647,0,0,0,-,-,-,-
2023-06-20 16:24:27,0,0,connectedRoaming,wcdma,0,0,99,0,rscp=-78,0,-,-,-,-
2023-06-20 16:24:31,0,0,connectedRoaming,wcdma,0,0,99,0,rscp=-80,0,-,-,-,-
2023-06-20 16:24:34,0,0,connectedRoaming,wcdma,0,0,99,0,rscp=-78,0,-,-,-,-
2023-06-20 16:24:37,0,0,connectedRoaming,wcdma,0,0,99,0,rscp=-82,0,-,-,-,-
2023-06-20 16:24:40,0,0,connectedRoaming,lte,0,-105,0,0,-105,-10,-,-,-,-
2023-06-20 16:24:43,0,0,connectedRoaming,lte,0,-103,0,0,-103,-10,-,-,-,-
2023-06-20 16:24:47,0,0,connectedRoaming,lte,0,-103,0,0,-103,-10,-,-,-,-
2023-06-20 16:24:50,0,0,connectedRoaming,lte,0,-105,0,0,-105,-9,-,-,-,-
2023-06-20 16:24:53,0,0,Not Connected,none,0,0,0,0,0,0,-,-,-,-
2023-06-20 16:24:56,0,0,Not Connected,none,0,0,0,0,0,0,-,-,-,-
2023-06-20 16:24:59,0,0,connectedRoaming,wcdma,0,0,99,0,rscp=-78,0,-,-,-,-
2023-06-20 16:25:03,0,0,connectedRoaming,wcdma,0,0,99,0,rscp=-78,0,-,-,-,-
2023-06-20 16:25:06,0,0,connectedRoaming,wcdma,0,0,99,0,rscp=-78,0,-,-,-,-
2023-06-20 16:25:09,0,0,connectedRoaming,wcdma,0,0,99,0,rscp=-78,0,-,-,-,-
2023-06-20 16:25:12,0,0,Not Connected,none,0,0,0,0,0,0,-,-,-,-
2023-06-20 16:25:16,0,0,Not Connected,none,0,0,0,0,0,0,-,-,-,-
2023-06-20 16:25:19,0,0,connectedRoaming,gsm,0,-69,2147483647,0,0,0,-,-,-,-
2023-06-20 16:25:22,0,0,connectedRoaming,gsm,0,-69,2147483647,0,0,0,-,-,-,-
