timestamp,apn1,apn2,connection_state,technology,raw_rssi,rssi,ber,rscp,rsrp,rsrq,mcc,mnc,network_provider,operator
2023-06-21 14:15:10,0,0,connectedRoaming,lte,0,-101,0,0,-101,-7,240,08,-,-
2023-06-21 14:15:20,0,0,connectedRoaming,lte,0,-101,0,0,-101,-8,240,08,-,-
2023-06-21 14:15:30,0,0,connectedRoaming,lte,0,-101,0,0,-101,-8,240,08,-,-
2023-06-21 14:15:40,0,0,connectedRoaming,lte,0,-99,0,0,-99,-7,240,08,-,-
2023-06-21 14:15:51,0,0,connectedRoaming,lte,0,-99,0,0,-99,-8,240,08,-,-
2023-06-21 14:16:01,0,0,connectedRoaming,lte,0,-101,0,0,-101,-7,240,08,-,-
2023-06-21 14:16:11,0,0,connectedRoaming,lte,0,-101,0,0,-101,-7,240,08,-,-
2023-06-21 14:16:21,0,0,connectedRoaming,lte,0,-99,0,0,-99,-8,240,08,-,-
2023-06-21 14:16:32,0,0,connectedRoaming,lte,0,-95,0,0,-95,-6,240,08,-,-
2023-06-21 14:16:42,0,0,connectedRoaming,lte,0,-93,0,0,-92,-8,240,08,-,-
2023-06-21 14:16:52,0,0,connectedRoaming,lte,0,-93,0,0,-92,-8,240,08,-,-
2023-06-21 14:17:02,0,0,connectedRoaming,lte,0,-93,0,0,-92,-8,240,08,-,-
2023-06-21 14:17:12,0,0,connectedRoaming,lte,0,-91,0,0,-90,-6,240,08,-,-
2023-06-21 14:17:23,0,0,connectedRoaming,lte,0,-89,0,0,-88,-5,240,08,-,-
2023-06-21 14:17:33,0,0,connectedRoaming,lte,0,-61,0,0,-61,-7,240,08,-,-
2023-06-21 14:17:43,0,0,connectedRoaming,lte,0,-69,0,0,-69,-8,240,08,-,-
2023-06-21 14:17:53,0,0,connectedRoaming,lte,0,-73,0,0,-73,-12,240,08,-,-
2023-06-21 14:18:03,0,0,connectedRoaming,lte,0,-75,0,0,-74,-7,240,08,-,-
2023-06-21 14:18:14,0,0,connectedRoaming,lte,0,-81,0,0,-81,-10,240,08,-,-
2023-06-21 14:18:24,0,0,connectedRoaming,lte,0,-79,0,0,-79,-9,240,08,-,-
2023-06-21 14:18:34,0,0,connectedRoaming,lte,0,-81,0,0,-81,-9,240,08,-,-
2023-06-21 14:18:44,0,0,connectedRoaming,lte,0,-79,0,0,-78,-7,240,08,-,-
2023-06-21 14:18:55,0,0,connectedRoaming,lte,0,-79,0,0,-78,-7,240,08,-,-
2023-06-21 14:19:05,0,0,connectedRoaming,lte,0,-79,0,0,-78,-7,240,08,-,-
