timestamp,apn1,apn2,connection_state,technology,raw_rssi,rssi,ber,rscp,rsrp,rsrq,mcc,mnc,network_provider,operator
2023-06-21 10:26:51,0,0,connectedRoaming,gsm,0,-71,2147483647,0,0,0,240,24,-,-
2023-06-21 10:27:01,0,0,Not Connected,none,0,0,0,0,0,0,240,24,-,-
2023-06-21 10:27:11,0,0,connectedRoaming,gsm,0,-69,2147483647,0,0,0,240,24,-,-
2023-06-21 10:27:21,0,0,connectedRoaming,wcdma,0,0,99,-87,0,0,240,08,-,-
2023-06-21 10:27:31,0,0,connectedRoaming,lte,0,-109,0,0,-109,-11,240,08,-,-
2023-06-21 10:27:41,0,0,Not Connected,none,0,0,0,0,0,0,,,-,-
