timestamp,apn1,apn2,connection_state,technology,raw_rssi,rssi,ber,rscp,rsrp,rsrq,mcc,mnc,network_provider,operator,coordinates
2023-06-30 10:34:53,0,0,connectedRoaming,lte,0,-81,0,0,-98,-10,240,02,,,"55.717212,13.215808"
2023-06-30 10:35:03,0,0,connectedRoaming,lte,0,-81,0,0,-98,-10,240,02,,,"55.717212,13.215808"
2023-06-30 10:35:13,0,0,connectedRoaming,lte,0,-81,0,0,-98,-10,240,02,,,"55.717212,13.215808"
2023-06-30 10:35:23,0,0,connectedRoaming,lte,0,-81,0,0,-98,-10,240,02,,,"55.717212,13.215808"
2023-06-30 10:35:33,0,0,connectedRoaming,lte,0,-83,0,0,-101,-8,240,02,,,"55.717212,13.215808"
2023-06-30 10:35:43,0,0,connectedRoaming,lte,0,-53,0,0,-83,-12,240,02,,,"55.717212,13.215808"
2023-06-30 10:35:53,0,0,connectedRoaming,lte,0,-53,0,0,-83,-12,240,02,,,"55.717212,13.215808"
2023-06-30 10:36:03,0,0,connectedRoaming,lte,0,-53,0,0,-83,-12,240,02,,,"55.717212,13.215808"
2023-06-30 10:36:13,0,0,connectedRoaming,lte,0,-53,0,0,-83,-12,240,02,,,"55.717212,13.215808"
2023-06-30 10:36:23,0,0,connectedRoaming,lte,0,-53,0,0,-83,-12,240,02,,,"55.717212,13.215808"
2023-06-30 10:36:33,0,0,connectedRoaming,lte,0,-53,0,0,-83,-12,240,02,,,"55.717212,13.215808"
2023-06-30 10:36:43,0,0,connectedRoaming,lte,0,-53,0,0,-83,-12,240,02,,,"55.717212,13.215808"
2023-06-30 10:36:53,0,0,connectedRoaming,lte,0,-53,0,0,-83,-12,240,02,,,"55.717212,13.215808"
2023-06-30 10:37:03,0,0,connectedRoaming,lte,0,-53,0,0,-83,-12,240,02,,,"55.717212,13.215808"
2023-06-30 10:37:13,0,0,connectedRoaming,lte,0,-53,0,0,-83,-12,240,02,,,"55.717212,13.215808"
2023-06-30 10:37:23,0,0,connectedRoaming,lte,0,-53,0,0,-83,-12,240,02,,,"55.717212,13.215808"
